#	time	R[0]	R[1]	R[2]	R[3]
0.001	0.024525	0.300012	-0.00294304	1.57078
0.00198319	0.0486374	0.300048	-0.00583684	1.57073
0.00295398	0.0724454	0.300107	-0.00869461	1.57065
0.00391563	0.0960285	0.300188	-0.0115261	1.57055
0.00487055	0.119445	0.300291	-0.0143386	1.57041
0.00582053	0.14274	0.300415	-0.0171377	1.57024
0.00676693	0.165947	0.300561	-0.0199275	1.57005
0.00771079	0.189089	0.300729	-0.0227112	1.56983
0.00865289	0.212186	0.300918	-0.0254914	1.56958
0.00959384	0.235253	0.301129	-0.0282701	1.5693
0.0105341	0.258301	0.301361	-0.0310487	1.56899
0.011474	0.281339	0.301614	-0.0338286	1.56865
0.0124139	0.304373	0.301889	-0.0366109	1.56829
0.013354	0.327409	0.302186	-0.0393964	1.5679
0.0142945	0.350452	0.302505	-0.0421859	1.56748
0.0152356	0.373505	0.302846	-0.04498	1.56703
0.0161773	0.39657	0.303208	-0.0477794	1.56656
0.0171198	0.419651	0.303593	-0.0505845	1.56605
0.0180631	0.442748	0.304	-0.0533958	1.56552
0.0190074	0.465863	0.304429	-0.0562138	1.56496
0.0199526	0.488997	0.30488	-0.0590388	1.56437
0.0208989	0.512152	0.305354	-0.0618711	1.56376
0.0218463	0.535327	0.30585	-0.0647112	1.56312
0.0227947	0.558523	0.306369	-0.0675592	1.56245
0.0237443	0.58174	0.30691	-0.0704155	1.56175
